"Major area, region, country or area of destination",Notes,Country code,Total population of both sexes at mid-year (thousands),,,,,,Total male population at mid-year (thousands),,,,,,Total female population at mid-year (thousands),,,,,
Central African Republic,,140,  2 938,  3 336,  3 726,  4 056,  4 445,  4 900,  1 443,  1 638,  1 831,  1 995,  2 189,  2 415,  1 495,  1 698,  1 895,  2 060,  2 256,  2 485
Chad,,148,  5 958,  7 002,  8 343,  10 068,  11 896,  14 037,  2 958,  3 482,  4 156,  5 025,  5 950,  7 028,  3 000,  3 520,  4 188,  5 042,  5 947,  7 010
Congo,,178,  2 386,  2 721,  3 109,  3 503,  4 066,  4 620,  1 190,  1 357,  1 552,  1 750,  2 033,  2 311,  1 197,  1 364,  1 557,  1 753,  2 033,  2 309
Democratic Republic of the Congo,,180,  34 963,  42 184,  48 049,  56 090,  65 939,  77 267,  17 255,  20 880,  23 834,  27 878,  32 833,  38 533,  17 707,  21 304,  24 215,  28 212,  33 106,  38 734
Equatorial Guinea,,226,   377,   448,   531,   626,   729,   845,   193,   229,   272,   321,   374,   433,   185,   219,   259,   305,   355,   412
Gabon,,266,   952,  1 086,  1 232,  1 378,  1 542,  1 725,   466,   535,   611,   690,   778,   872,   486,   552,   620,   688,   764,   853
Sao Tome and Principe,,678,   114,   126,   137,   153,   171,   190,   56,   62,   68,   76,   85,   95,   57,   63,   69,   77,   86,   96
Northern Africa,,912,  140 117,  157 438,  171 891,  186 917,  203 717,  223 892,  70 481,  79 224,  86 407,  93 864,  102 232,  112 402,  69 636,  78 214,  85 484,  93 053,  101 484,  111 489
Algeria,,12,  25 912,  28 904,  31 184,  33 268,  36 036,  39 667,  13 117,  14 639,  15 803,  16 809,  18 151,  19 958,  12 795,  14 265,  15 381,  16 459,  17 885,  19 709
Egypt,,818,  56 397,  62 435,  68 335,  74 942,  82 041,  91 508,  28 295,  31 396,  34 354,  37 762,  41 405,  46 240,  28 102,  31 038,  33 981,  37 180,  40 636,  45 268
Libya,,434,  4 398,  4 878,  5 337,  5 802,  6 266,  6 278,  2 320,  2 556,  2 784,  2 999,  3 207,  3 157,  2 079,  2 322,  2 553,  2 802,  3 058,  3 122
Morocco,,504,  24 950,  27 162,  28 951,  30 385,  32 108,  34 378,  12 449,  13 513,  14 345,  14 986,  15 803,  16 989,  12 501,  13 649,  14 605,  15 400,  16 305,  17 388
Sudan,(3),729,  20 009,  24 692,  28 080,  31 990,  36 115,  40 235,  10 047,  12 398,  14 094,  16 050,  18 120,  20 197,  9 962,  12 294,  13 986,  15 940,  17 995,  20 038
Tunisia,,788,  8 233,  9 114,  9 699,  10 102,  10 639,  11 254,  4 139,  4 590,  4 866,  5 032,  5 276,  5 561,  4 093,  4 524,  4 833,  5 071,  5 363,  5 692
Western Sahara,,732,   217,   253,   306,   428,   512,   573,   114,   132,   160,   226,   270,   300,   103,   122,   146,   202,   242,   273
Southern Africa,,913,  42 049,  47 375,  51 451,  55 274,  59 067,  62 634,  20 760,  23 324,  25 314,  27 143,  28 983,  30 818,  21 289,  24 051,  26 137,  28 132,  30 084,  31 816
Botswana,,72,  1 380,  1 576,  1 737,  1 864,  2 048,  2 262,   681,   781,   864,   930,  1 023,  1 130,   699,   795,   872,   934,  1 025,  1 132
Lesotho,,426,  1 598,  1 754,  1 856,  1 926,  2 011,  2 135,   776,   859,   899,   939,   988,  1 057,   821,   894,   957,   987,  1 023,  1 078
Namibia,,516,  1 415,  1 654,  1 898,  2 027,  2 194,  2 459,   692,   811,   933,   990,  1 064,  1 197,   724,   843,   965,  1 037,  1 129,  1 262
South Africa,,710,  36 793,  41 427,  44 897,  48 353,  51 622,  54 490,  18 204,  20 409,  22 103,  23 744,  25 322,  26 797,  18 589,  21 018,  22 794,  24 609,  26 300,  27 693
Swaziland,,748,   863,   963,  1 064,  1 105,  1 193,  1 287,   407,   463,   515,   540,   587,   636,   456,   500,   549,   565,   607,   651
Western Africa,,914,  180 331,  206 419,  235 235,  268 498,  307 982,  353 224,  90 586,  103 749,  118 387,  135 222,  155 224,  178 324,  89 744,  102 670,  116 848,  133 276,  152 759,  174 900
Benin,,204,  5 001,  5 986,  6 949,  8 182,  9 510,  10 880,  2 417,  2 928,  3 408,  4 048,  4 731,  5 426,  2 584,  3 058,  3 541,  4 134,  4 778,  5 454
Burkina Faso,,854,  8 811,  10 090,  11 608,  13 422,  15 632,  18 106,  4 306,  4 943,  5 702,  6 622,  7 737,  8 984,  4 505,  5 147,  5 906,  6 800,  7 895,  9 121
Cabo Verde,,132,   341,   389,   439,   474,   490,   521,   162,   187,   212,   232,   241,   257,   179,   202,   227,   242,   249,   264
Côte d'Ivoire,,384,  12 166,  14 404,  16 518,  18 133,  20 132,  22 702,  6 329,  7 468,  8 533,  9 306,  10 279,  11 546,  5 837,  6 936,  7 984,  8 827,  9 853,  11 155
Gambia,,270,   917,  1 066,  1 229,  1 441,  1 693,  1 991,   462,   533,   610,   714,   838,   986,   455,   533,   619,   726,   855,  1 005
Ghana,,288,  14 628,  16 761,  18 825,  21 390,  24 318,  27 410,  7 434,  8 474,  9 507,  10 686,  12 035,  13 635,  7 195,  8 287,  9 318,  10 704,  12 283,  13 774
Guinea,,324,  6 034,  7 863,  8 799,  9 669,  11 012,  12 609,  2 984,  3 900,  4 382,  4 833,  5 513,  6 322,  3 050,  3 963,  4 418,  4 836,  5 500,  6 286
Guinea-Bissau,,624,  1 056,  1 181,  1 315,  1 463,  1 634,  1 844,   521,   583,   650,   725,   811,   916,   535,   598,   665,   737,   823,   929
Liberia,,430,  2 103,  2 080,  2 892,  3 270,  3 958,  4 503,  1 047,  1 035,  1 445,  1 639,  1 990,  2 270,  1 056,  1 045,  1 447,  1 630,  1 968,  2 234
Mali,,466,  8 482,  9 641,  11 047,  12 881,  15 167,  17 600,  4 197,  4 791,  5 517,  6 465,  7 644,  8 885,  4 285,  4 850,  5 530,  6 417,  7 523,  8 715
Mauritania,,478,  2 024,  2 334,  2 711,  3 154,  3 591,  4 068,  1 009,  1 165,  1 358,  1 584,  1 805,  2 047,  1 015,  1 169,  1 354,  1 570,  1 786,  2 021
Niger,,562,  7 912,  9 362,  11 225,  13 485,  16 292,  19 899,  3 890,  4 636,  5 612,  6 768,  8 202,  10 029,  4 021,  4 726,  5 613,  6 717,  8 090,  9 870
Nigeria,,566,  95 617,  108 425,  122 877,  139 611,  159 425,  182 202,  48 276,  54 793,  62 210,  70 832,  81 051,  92 789,  47 341,  53 632,  60 667,  68 780,  78 374,  89 413
Saint Helena,(4),654,   6,   5,   5,   4,   4,   4,..,..,..,..,..,..,..,..,..,..,..,..
Senegal,,686,  7 514,  8 711,  9 861,  11 269,  12 957,  15 129,  3 740,  4 325,  4 853,  5 527,  6 344,  7 429,  3 774,  4 386,  5 008,  5 742,  6 613,  7 701
Sierra Leone,,694,  3 931,  3 838,  4 061,  5 071,  5 776,  6 453,  1 942,  1 895,  2 005,  2 501,  2 852,  3 193,  1 990,  1 943,  2 056,  2 570,  2 924,  3 260
Togo,,768,  3 787,  4 284,  4 875,  5 578,  6 391,  7 305,  1 868,  2 092,  2 383,  2 737,  3 148,  3 609,  1 919,  2 192,  2 492,  2 841,  3 243,  3 695
Asia,,935, 3 202 475, 3 474 849, 3 714 470, 3 944 670, 4 169 860, 4 393 296, 1 634 735, 1 774 574, 1 896 485, 2 015 857, 2 132 586, 2 246 986, 1 567 740, 1 700 275, 1 817 985, 1 928 813, 2 037 274, 2 146 310
Central Asia,,5500,  50 405,  53 178,  55 117,  58 043,  62 139,  67 314,  24 732,  26 171,  27 082,  28 496,  30 503,  33 088,  25 673,  27 007,  28 035,  29 547,  31 636,  34 226
Kazakhstan,,398,  16 530,  15 926,  14 957,  15 452,  16 311,  17 625,  8 002,  7 693,  7 171,  7 421,  7 862,  8 512,  8 528,  8 233,  7 786,  8 031,  8 449,  9 113
Kyrgyzstan,,417,  4 395,  4 592,  4 955,  5 115,  5 465,  5 940,  2 149,  2 260,  2 444,  2 530,  2 695,  2 940,  2 245,  2 333,  2 511,  2 585,  2 770,  3 000
Tajikistan,,762,  5 297,  5 784,  6 186,  6 806,  7 582,  8 482,  2 631,  2 893,  3 100,  3 421,  3 812,  4 296,  2 666,  2 891,  3 086,  3 385,  3 769,  4 186
Turkmenistan,,795,  3 668,  4 188,  4 501,  4 748,  5 042,  5 374,  1 809,  2 068,  2 222,  2 342,  2 483,  2 641,  1 859,  2 120,  2 279,  2 406,  2 559,  2 733
Uzbekistan,,860,  20 515,  22 687,  24 518,  25 922,  27 740,  29 893,  10 141,  11 258,  12 144,  12 782,  13 651,  14 699,  10 374,  11 430,  12 374,  13 140,  14 088,  15 194
