"Major area, region, country or area of destination",Notes,Country code,Total population of both sexes at mid-year (thousands),,,,,,Total male population at mid-year (thousands),,,,,,Total female population at mid-year (thousands),,,,,
Estonia,,233,  1 565,  1 433,  1 399,  1 356,  1 332,  1 313,   732,   663,   653,   630,   620,   614,   833,   770,   747,   726,   712,   698
Faeroe Islands,,234,   48,   44,   46,   48,   49,   48,..,..,..,..,..,..,..,..,..,..,..,..
Finland,(15),246,  4 987,  5 108,  5 176,  5 246,  5 368,  5 503,  2 420,  2 487,  2 526,  2 567,  2 634,  2 709,  2 567,  2 621,  2 650,  2 679,  2 734,  2 794
Iceland,,352,   255,   267,   281,   297,   318,   329,   128,   134,   141,   149,   160,   165,   127,   133,   140,   148,   158,   164
Ireland,,372,  3 563,  3 645,  3 842,  4 204,  4 617,  4 688,  1 774,  1 811,  1 910,  2 099,  2 301,  2 340,  1 789,  1 834,  1 931,  2 104,  2 316,  2 348
Isle of Man,,833,   70,   72,   77,   80,   84,   88,..,..,..,..,..,..,..,..,..,..,..,..
Latvia,,428,  2 664,  2 488,  2 371,  2 228,  2 091,  1 971,  1 238,  1 147,  1 091,  1 021,   955,   904,  1 426,  1 341,  1 280,  1 207,  1 135,  1 067
Lithuania,,440,  3 697,  3 628,  3 486,  3 343,  3 123,  2 878,  1 750,  1 710,  1 632,  1 556,  1 440,  1 325,  1 948,  1 919,  1 855,  1 788,  1 683,  1 553
Norway,(16),578,  4 240,  4 360,  4 492,  4 624,  4 891,  5 211,  2 096,  2 155,  2 224,  2 293,  2 444,  2 625,  2 145,  2 205,  2 268,  2 332,  2 447,  2 586
Sweden,,752,  8 559,  8 827,  8 872,  9 030,  9 382,  9 779,  4 228,  4 361,  4 387,  4 477,  4 672,  4 887,  4 331,  4 466,  4 486,  4 554,  4 711,  4 893
United Kingdom of Great Britain and Northern Ireland,,826,  57 110,  57 904,  58 867,  60 210,  62 717,  64 716,  27 750,  28 143,  28 677,  29 474,  30 813,  31 899,  29 360,  29 761,  30 190,  30 736,  31 903,  32 817
Southern Europe,,925,  143 404,  144 147,  145 058,  149 735,  153 360,  152 348,  70 153,  70 377,  70 868,  73 302,  75 041,  74 282,  73 250,  73 770,  74 190,  76 433,  78 319,  78 066
Albania,,8,  3 281,  3 107,  3 122,  3 082,  2 902,  2 897,  1 681,  1 529,  1 578,  1 549,  1 463,  1 437,  1 601,  1 577,  1 544,  1 533,  1 439,  1 460
Andorra,,20,   55,   64,   65,   81,   84,   70,..,..,..,..,..,..,..,..,..,..,..,..
Bosnia and Herzegovina,,70,  4 527,  3 879,  3 793,  3 833,  3 835,  3 810,  2 262,  1 933,  1 891,  1 910,  1 910,  1 896,  2 265,  1 946,  1 902,  1 924,  1 926,  1 914
Croatia,,191,  4 776,  4 617,  4 428,  4 378,  4 316,  4 240,  2 316,  2 233,  2 132,  2 108,  2 081,  2 045,  2 461,  2 384,  2 296,  2 270,  2 236,  2 195
Gibraltar,,292,   27,   27,   27,   29,   31,   32,..,..,..,..,..,..,..,..,..,..,..,..
Greece,,300,  10 132,  10 641,  10 954,  11 070,  11 178,  10 955,  5 001,  5 260,  5 415,  5 449,  5 484,  5 345,  5 131,  5 381,  5 539,  5 620,  5 694,  5 609
Holy See,(17),336,   1,   1,   1,   1,   1,   1,..,..,..,..,..,..,..,..,..,..,..,..
Italy,,380,  57 008,  57 120,  57 147,  58 657,  59 588,  59 798,  27 724,  27 733,  27 717,  28 527,  28 937,  29 070,  29 284,  29 387,  29 430,  30 130,  30 651,  30 728
Malta,,470,   356,   372,   387,   397,   412,   419,   175,   184,   192,   196,   205,   208,   181,   189,   196,   201,   207,   210
Montenegro,,499,   615,   620,   614,   616,   622,   626,   306,   308,   303,   303,   307,   309,   309,   312,   311,   314,   315,   317
Portugal,,620,  9 890,  10 078,  10 279,  10 480,  10 585,  10 350,  4 762,  4 856,  4 959,  5 069,  5 065,  4 901,  5 128,  5 222,  5 320,  5 411,  5 520,  5 449
San Marino,,674,   24,   26,   27,   29,   31,   32,..,..,..,..,..,..,..,..,..,..,..,..
Serbia,(18),688,  9 518,  9 884,  9 463,  9 187,  9 059,  8 851,  4 698,  4 871,  4 644,  4 491,  4 428,  4 320,  4 820,  5 014,  4 819,  4 696,  4 631,  4 531
Slovenia,,705,  2 007,  1 991,  1 989,  1 997,  2 052,  2 068,   974,   965,   971,   975,  1 017,  1 025,  1 033,  1 026,  1 018,  1 022,  1 036,  1 043
Spain,(19),724,  39 192,  39 764,  40 750,  43 855,  46 601,  46 122,  19 195,  19 466,  20 000,  21 634,  23 044,  22 624,  19 997,  20 298,  20 749,  22 221,  23 557,  23 498
The former Yugoslav Republic of Macedonia,,807,  1 996,  1 954,  2 012,  2 043,  2 062,  2 078,  1 004,   979,  1 006,  1 019,  1 028,  1 035,   992,   975,  1 006,  1 024,  1 035,  1 044
Western Europe,,926,  175 615,  180 909,  183 163,  185 552,  187 762,  190 794,  85 494,  88 424,  89 626,  90 808,  91 912,  93 581,  90 121,  92 485,  93 537,  94 743,  95 849,  97 212
Austria,,40,  7 707,  7 973,  8 051,  8 235,  8 392,  8 545,  3 686,  3 848,  3 907,  4 002,  4 089,  4 196,  4 020,  4 125,  4 144,  4 233,  4 303,  4 348
Belgium,,56,  9 978,  10 162,  10 268,  10 561,  10 930,  11 299,  4 879,  4 971,  5 020,  5 170,  5 356,  5 559,  5 100,  5 191,  5 248,  5 392,  5 574,  5 740
France,,250,  56 943,  58 224,  59 387,  61 242,  62 961,  64 395,  27 960,  28 533,  29 048,  29 885,  30 676,  31 342,  28 983,  29 691,  30 339,  31 357,  32 285,  33 054
Germany,,276,  78 958,  81 613,  81 896,  81 247,  80 435,  80 689,  38 125,  39 772,  40 040,  39 785,  39 412,  39 653,  40 833,  41 840,  41 856,  41 462,  41 023,  41 036
Liechtenstein,,438,   29,   31,   33,   35,   36,   38,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,,442,   382,   408,   436,   458,   508,   567,   187,   200,   215,   226,   252,   285,   195,   208,   221,   232,   256,   282
Monaco,,492,   29,   31,   32,   34,   37,   38,..,..,..,..,..,..,..,..,..,..,..,..
Netherlands,,528,  14 915,  15 451,  15 894,  16 332,  16 632,  16 925,  7 372,  7 643,  7 864,  8 081,  8 235,  8 401,  7 544,  7 808,  8 030,  8 251,  8 396,  8 524
Switzerland,,756,  6 674,  7 017,  7 166,  7 409,  7 831,  8 299,  3 258,  3 427,  3 501,  3 626,  3 855,  4 109,  3 416,  3 590,  3 665,  3 782,  3 975,  4 189
Latin America and the Caribbean,,904,  446 889,  487 326,  526 890,  563 826,  599 823,  634 387,  221 990,  241 691,  260 999,  279 063,  296 659,  313 509,  224 899,  245 635,  265 891,  284 763,  303 164,  320 878
Caribbean,,915,  34 198,  36 375,  38 314,  40 028,  41 621,  43 199,  17 012,  18 078,  19 015,  19 850,  20 636,  21 406,  17 185,  18 297,  19 299,  20 178,  20 985,  21 794
Anguilla,,660,   8,   10,   11,   13,   14,   15,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,,28,   62,   68,   78,   83,   87,   92,   30,   33,   36,   39,   42,   44,   32,   35,   41,   43,   46,   48
Aruba,,533,   62,   80,   91,   100,   102,   104,   31,   40,   44,   48,   48,   49,   31,   41,   47,   52,   53,   55
Bahamas,,44,   256,   280,   298,   329,   361,   388,   127,   138,   145,   161,   176,   190,   129,   142,   153,   169,   184,   198
Barbados,,52,   260,   265,   270,   274,   280,   284,   125,   127,   130,   132,   134,   136,   135,   137,   140,   142,   145,   148
"Bonaire, Sint Eustatius and Saba",(20),535,   13,   15,   14,   14,   21,   25,..,..,..,..,..,..,..,..,..,..,..,..
British Virgin Islands,,92,   16,   18,   21,   23,   27,   30,..,..,..,..,..,..,..,..,..,..,..,..
Cayman Islands,,136,   25,   32,   42,   49,   56,   60,..,..,..,..,..,..,..,..,..,..,..,..
Cuba,,192,  10 582,  10 906,  11 117,  11 261,  11 308,  11 390,  5 332,  5 490,  5 584,  5 662,  5 686,  5 722,  5 251,  5 416,  5 533,  5 599,  5 622,  5 668
Curaçao,,531,   147,   144,   132,   129,   148,   157,   70,   68,   62,   61,   68,   73,   76,   76,   70,   69,   80,   85
Dominica,,212,   71,   71,   70,   71,   71,   73,..,..,..,..,..,..,..,..,..,..,..,..
Dominican Republic,,214,  7 184,  7 892,  8 563,  9 238,  9 898,  10 528,  3 614,  3 964,  4 291,  4 620,  4 941,  5 246,  3 569,  3 929,  4 271,  4 618,  4 957,  5 282
Grenada,,308,   96,   100,   102,   103,   105,   107,   48,   50,   50,   51,   52,   54,   49,   51,   51,   52,   52,   53
Guadeloupe,(21),312,   390,   408,   431,   451,   457,   468,   190,   198,   207,   213,   213,   217,   199,   210,   224,   237,   243,   252
Haiti,,332,  7 100,  7 820,  8 549,  9 263,  10 000,  10 711,  3 500,  3 858,  4 221,  4 577,  4 943,  5 297,  3 600,  3 962,  4 328,  4 686,  5 056,  5 414
Jamaica,,388,  2 386,  2 490,  2 600,  2 678,  2 741,  2 793,  1 177,  1 231,  1 293,  1 326,  1 362,  1 391,  1 209,  1 258,  1 307,  1 352,  1 379,  1 402
Martinique,,474,   358,   369,   387,   397,   395,   396,   173,   176,   182,   185,   182,   182,   185,   193,   205,   212,   212,   215
Montserrat,,500,   11,   10,   5,   5,   5,   5,..,..,..,..,..,..,..,..,..,..,..,..
Puerto Rico,,630,  3 518,  3 690,  3 797,  3 761,  3 710,  3 683,  1 704,  1 780,  1 828,  1 806,  1 783,  1 771,  1 814,  1 909,  1 969,  1 956,  1 927,  1 913
Saint Kitts and Nevis,,659,   41,   43,   46,   49,   52,   56,..,..,..,..,..,..,..,..,..,..,..,..
Saint Lucia,,662,   138,   147,   157,   165,   177,   185,   68,   72,   77,   81,   87,   91,   70,   75,   80,   84,   90,   94
Saint Vincent and the Grenadines,,670,   108,   108,   108,   109,   109,   109,   53,   54,   54,   55,   55,   55,   54,   54,   54,   54,   54,   54
Sint Maarten (Dutch part),,534,   29,   31,   32,   33,   33,   39,..,..,..,..,..,..,..,..,..,..,..,..
Trinidad and Tobago,,780,  1 222,  1 255,  1 268,  1 297,  1 328,  1 360,   609,   625,   631,   643,   657,   671,   613,   630,   637,   654,   671,   689
Turks and Caicos Islands,,796,   12,   15,   19,   26,   31,   34,..,..,..,..,..,..,..,..,..,..,..,..
United States Virgin Islands,,850,   103,   107,   109,   108,   106,   106,   50,   51,   52,   52,   51,   51,   53,   56,   57,   56,   56,   56
Central America,,916,  114 823,  127 032,  138 780,  148 989,  161 117,  172 740,  57 102,  63 035,  68 783,  73 843,  79 873,  85 638,  57 721,  63 998,  69 997,  75 146,  81 244,  87 102
Belize,,84,   188,   207,   247,   283,   322,   359,   95,   104,   125,   142,   161,   179,   93,   103,   123,   141,   161,   180
Costa Rica,,188,  3 096,  3 511,  3 925,  4 248,  4 545,  4 808,  1 560,  1 766,  1 970,  2 130,  2 277,  2 406,  1 536,  1 745,  1 955,  2 118,  2 268,  2 402
El Salvador,,222,  5 252,  5 589,  5 812,  5 947,  6 038,  6 127,  2 563,  2 713,  2 799,  2 837,  2 854,  2 875,  2 689,  2 875,  3 013,  3 111,  3 184,  3 251
Guatemala,,320,  9 159,  10 357,  11 689,  13 184,  14 732,  16 343,  4 544,  5 100,  5 714,  6 434,  7 197,  7 993,  4 615,  5 258,  5 975,  6 750,  7 535,  8 350
Honduras,,340,  4 903,  5 591,  6 243,  6 880,  7 504,  8 075,  2 459,  2 800,  3 122,  3 440,  3 751,  4 036,  2 445,  2 791,  3 121,  3 441,  3 753,  4 039
Mexico,,484,  85 609,  94 427,  102 809,  109 748,  118 618,  127 017,  42 577,  46 886,  51 040,  54 535,  58 988,  63 181,  43 033,  47 541,  51 769,  55 213,  59 629,  63 836
Nicaragua,,558,  4 145,  4 612,  5 027,  5 379,  5 738,  6 082,  2 055,  2 285,  2 487,  2 655,  2 827,  2 998,  2 089,  2 328,  2 540,  2 724,  2 911,  3 084
Panama,,591,  2 471,  2 738,  3 029,  3 319,  3 621,  3 929,  1 249,  1 381,  1 526,  1 670,  1 819,  1 970,  1 222,  1 357,  1 503,  1 649,  1 802,  1 959
South America,,931,  297 869,  323 919,  349 796,  374 809,  397 085,  418 447,  147 876,  160 578,  173 201,  185 371,  196 150,  206 465,  149 993,  163 340,  176 595,  189 439,  200 935,  211 982
Argentina,,32,  32 730,  34 995,  37 057,  39 145,  41 223,  43 417,  16 047,  17 143,  18 131,  19 149,  20 163,  21 245,  16 683,  17 852,  18 926,  19 997,  21 060,  22 172
Bolivia (Plurinational State of),,68,  6 856,  7 567,  8 340,  9 125,  9 918,  10 725,  3 437,  3 794,  4 181,  4 575,  4 970,  5 371,  3 419,  3 773,  4 158,  4 550,  4 948,  5 354
Brazil,,76,  150 393,  162 755,  175 786,  188 479,  198 614,  207 848,  74 585,  80 546,  86 860,  93 001,  97 830,  102 201,  75 808,  82 209,  88 926,  95 479,  100 785,  105 647
Chile,,152,  13 141,  14 194,  15 170,  16 097,  17 015,  17 948,  6 479,  7 000,  7 483,  7 940,  8 392,  8 855,  6 663,  7 194,  7 687,  8 157,  8 623,  9 093
Colombia,,170,  34 272,  37 442,  40 404,  43 286,  45 918,  48 229,  17 021,  18 547,  19 981,  21 376,  22 641,  23 744,  17 251,  18 894,  20 423,  21 910,  23 277,  24 485
Ecuador,,218,  10 218,  11 441,  12 629,  13 735,  14 935,  16 144,  5 134,  5 743,  6 331,  6 879,  7 472,  8 071,  5 084,  5 697,  6 297,  6 857,  7 462,  8 073
Falkland Islands (Malvinas),,238,   2,   2,   3,   3,   3,   3,..,..,..,..,..,..,..,..,..,..,..,..
French Guiana,,254,   116,   137,   163,   203,   234,   269,   60,   71,   84,   101,   117,   134,   55,   66,   79,   103,   117,   134
Guyana,,328,   720,   727,   742,   742,   753,   767,   352,   357,   371,   367,   376,   385,   368,   369,   371,   375,   377,   382
Paraguay,,600,  4 214,  4 761,  5 303,  5 795,  6 210,  6 639,  2 130,  2 407,  2 683,  2 935,  3 150,  3 369,  2 084,  2 354,  2 619,  2 861,  3 059,  3 270
Peru,,604,  21 827,  24 039,  25 915,  27 610,  29 374,  31 377,  10 906,  12 013,  12 951,  13 796,  14 676,  15 673,  10 921,  12 026,  12 964,  13 814,  14 698,  15 704
Suriname,,740,   408,   446,   481,   492,   518,   543,   207,   226,   243,   247,   260,   272,   201,   220,   238,   245,   258,   271
Uruguay,,858,  3 110,  3 225,  3 321,  3 326,  3 374,  3 432,  1 508,  1 562,  1 607,  1 605,  1 627,  1 656,  1 601,  1 663,  1 714,  1 720,  1 747,  1 775
Venezuela (Bolivarian Republic of),,862,  19 862,  22 189,  24 481,  26 769,  28 996,  31 108,  10 008,  11 165,  12 291,  13 399,  14 474,  15 487,  9 854,  11 023,  12 191,  13 370,  14 522,  15 621
Northern America,,905,  280 633,  295 700,  313 724,  328 524,  344 129,  357 838,  137 758,  145 528,  154 828,  162 427,  170 282,  177 383,  142 875,  150 171,  158 896,  166 098,  173 847,  180 455
Bermuda,,60,   61,   63,   64,   65,   64,   62,..,..,..,..,..,..,..,..,..,..,..,..
Canada,,124,  27 662,  29 299,  30 702,  32 256,  34 126,  35 940,  13 716,  14 503,  15 204,  15 986,  16 927,  17 826,  13 947,  14 797,  15 498,  16 270,  17 200,  18 114
Greenland,,304,   56,   56,   56,   57,   57,   56,..,..,..,..,..,..,..,..,..,..,..,..
Saint Pierre and Miquelon,,666,   6,   6,   6,   6,   6,   6,..,..,..,..,..,..,..,..,..,..,..,..
United States of America,,840,  252 848,  266 276,  282 896,  296 140,  309 876,  321 774,  123 979,  130 962,  139 559,  146 375,  153 292,  159 494,  128 868,  135 313,  143 337,  149 764,  156 584,  162 280
Oceania,,909,  26 971,  29 054,  31 068,  33 369,  36 411,  39 331,  13 514,  14 533,  15 553,  16 707,  18 265,  19 707,  13 457,  14 520,  15 514,  16 663,  18 146,  19 624
Australia and New Zealand,,927,  20 494,  21 800,  22 965,  24 409,  26 532,  28 497,  10 198,  10 829,  11 425,  12 142,  13 231,  14 189,  10 296,  10 971,  11 541,  12 267,  13 301,  14 308
Australia,(22),36,  17 097,  18 125,  19 107,  20 274,  22 163,  23 969,  8 526,  9 018,  9 531,  10 117,  11 086,  11 976,  8 571,  9 107,  9 576,  10 157,  11 077,  11 993
New Zealand,,554,  3 398,  3 675,  3 858,  4 135,  4 369,  4 529,  1 672,  1 811,  1 893,  2 025,  2 145,  2 213,  1 725,  1 864,  1 965,  2 110,  2 224,  2 315
Melanesia,,928,  5 514,  6 208,  6 993,  7 816,  8 716,  9 623,  2 818,  3 167,  3 565,  3 984,  4 444,  4 904,  2 696,  3 041,  3 428,  3 832,  4 273,  4 719
Fiji,,242,   729,   775,   811,   822,   860,   892,   370,   394,   412,   419,   439,   454,   359,   381,   399,   403,   421,   439
New Caledonia,,540,   169,   189,   210,   229,   246,   263,   86,   97,   106,   115,   125,   133,   83,   93,   104,   114,   121,   130
Papua New Guinea,,598,  4 158,  4 716,  5 374,  6 087,  6 848,  7 619,  2 126,  2 406,  2 740,  3 104,  3 493,  3 887,  2 032,  2 310,  2 634,  2 983,  3 355,  3 733
Solomon Islands,,90,   312,   359,   412,   469,   526,   584,   160,   185,   212,   239,   267,   296,   152,   175,   201,   230,   259,   287
Vanuatu,,548,   147,   168,   185,   209,   236,   265,   75,   86,   95,   107,   120,   134,   71,   82,   90,   103,   116,   131
Micronesia,,954,   415,   467,   497,   503,   502,   526,   215,   238,   249,   253,   254,   266,   200,   228,   248,   250,   248,   260
Guam,,316,   130,   146,   155,   158,   159,   170,   70,   76,   79,   81,   81,   86,   61,   70,   76,   78,   78,   84
Kiribati,,296,   72,   78,   84,   92,   103,   112,   36,   39,   42,   45,   51,   55,   37,   39,   43,   47,   52,   57
Marshall Islands,,584,   47,   51,   52,   52,   52,   53,..,..,..,..,..,..,..,..,..,..,..,..
Micronesia (Federated States of),,583,   96,   108,   107,   106,   104,   104,   49,   55,   54,   54,   53,   54,   47,   53,   53,   52,   51,   51
Nauru,,520,   9,   10,   10,   10,   10,   10,..,..,..,..,..,..,..,..,..,..,..,..
Northern Mariana Islands,,580,   44,   58,   68,   64,   54,   55,..,..,..,..,..,..,..,..,..,..,..,..
Palau,,585,   15,   17,   19,   20,   20,   21,..,..,..,..,..,..,..,..,..,..,..,..
Polynesia,,957,   548,   579,   612,   641,   660,   684,   283,   299,   315,   328,   337,   348,   265,   281,   298,   313,   324,   336
American Samoa,,16,   47,   53,   58,   59,   56,   56,..,..,..,..,..,..,..,..,..,..,..,..
Cook Islands,,184,   18,   18,   18,   19,   20,   21,..,..,..,..,..,..,..,..,..,..,..,..
French Polynesia,,258,   198,   215,   237,   255,   268,   283,   103,   112,   122,   131,   137,   144,   95,   103,   115,   124,   131,   138
Niue,,570,   2,   2,   2,   2,   2,   2,..,..,..,..,..,..,..,..,..,..,..,..
Samoa,,882,   163,   170,   175,   180,   186,   193,   85,   88,   91,   93,   96,   100,   78,   82,   84,   87,   90,   94
Tokelau,,772,   2,   2,   2,   1,   1,   1,..,..,..,..,..,..,..,..,..,..,..,..
Tonga,,776,   95,   96,   98,   101,   104,   106,   48,   49,   50,   51,   52,   53,   47,   47,   48,   50,   52,   53
Tuvalu,,798,   9,   9,   9,   10,   10,   10,..,..,..,..,..,..,..,..,..,..,..,..
Wallis and Futuna Islands,,876,   14,   14,   14,   14,   14,   13,..,..,..,..,..,..,..,..,..,..,..,..
